"GenesetID"	"GenesetName"	"Species"	"ElementSize"	"EntrezID"
"C004656"	"chloroacetaldehyde"	"Homo sapiens"	304	"16,10058,23457,8714,9619,63874,2180,375790,196,84883,50808,205,1646,5832,220,217,226,259173,259,51129,57763,10564,9639,400,440,23245,29028,467,468,6310,9212,558,581,27113,8412,586,602,79656,221336,8553,90427,664,6046,7832,401152,10645,833,836,841,60492,9134,901,1021,1026,91012,79745,134147,1690,1282,1356,1491,1508,2017,1543,1545,1649,54541,10521,57062,1606,57647,9787,1745,3300,4189,23268,54344,91039,1809,56940,1847,55096,80153,1942,10209,8894,8663,2000,2005,2023,2026,55556,57089,57634,2058,50527,2167,26355,83648,125228,116151,56204,157638,375061,355,26263,84085,2235,55640,8061,341640,2495,23710,1647,57452,2617,2632,2729,2730,9245,9518,27333,64689,10223,84803,10243,10457,53836,2936,8916,3091,3006,3162,3304,3309,10553,3376,3423,3482,3638,51141,23479,55846,3688,23522,55818,9817,3866,3880,3909,51520,29995,26046,4097,10905,1326,4193,4199,4255,4502,51537,4601,10135,4677,9918,4739,4780,51199,4814,1728,9315,84284,9891,93129,29948,54995,5033,53354,5152,10954,5166,9124,5210,26227,23612,55367,23396,8544,5339,1263,5366,56937,10908,5420,10621,5468,8496,9360,8493,23645,9055,639,5564,5565,5631,29968,55269,5831,5836,25837,11031,9363,5914,117584,6016,6018,390,55298,51065,50484,26156,65117,861,860,6256,23098,6303,23753,6398,29950,27244,23064,2810,54436,85358,6478,150094,57568,10572,84561,6509,6510,788,11001,6513,6520,6533,6536,6541,23657,8140,60682,6651,6653,10252,80176,8878,79644,140809,55959,6888,57551,6897,6916,7030,57103,10245,25976,120224,9772,8795,8744,7150,7153,7157,9540,94241,11257,53373,51499,140691,6738,26995,23554,7295,7296,63893,9960,7421,7423,7433,79679,7453,126820,23335,80014,7494,7508,8565,55689,64848,7543,64393,93134"
"C004712"	"cytisine"	"Homo sapiens"	6	"1135,1136,1137,1139,1141,1143"
"C004742"	"daidzein"	"Homo sapiens"	174	"19,4363,10257,10057,2181,119,196,8854,249,251,290,367,396,84913,23545,11177,10295,596,598,632,669,672,103993,219738,56344,27101,836,9994,890,595,131450,1017,1019,1026,1103,1152,1312,9167,1374,1401,6387,3576,79901,1588,1543,1545,1589,1559,1565,1576,79961,1795,91039,1846,9166,26098,80303,1956,2027,2041,83715,2099,2100,2101,2103,2104,284069,389558,116151,55785,2274,56776,2353,117248,2787,9687,147746,83872,3284,7866,3480,3487,3553,3569,3570,26145,81875,3725,10524,26251,5927,4254,354,90417,27074,26119,25802,116844,51599,5594,5595,4199,9553,4502,10903,4609,26509,10499,4824,4846,1728,8856,3164,8204,56944,142,5111,64236,5174,5241,5411,10957,5458,5566,5580,55660,11098,55269,5743,5745,5747,83593,5932,26166,6197,1903,6404,81537,89790,6554,345274,6558,6566,55867,9376,6513,8140,11309,401548,284297,6781,27347,51657,6817,6818,7341,6870,123036,7031,7041,7130,7157,9537,7164,7345,54658,54575,54577,54576,54600,7367,7412,80124,144406"
"C004762"	"2,4-dichlorophenol"	"Homo sapiens"	8	"367,847,1649,1965,2100,3309,6257,7494"
"C004808"	"farnesyl pyrophosphate"	"Homo sapiens"	11	"332,836,2353,3156,3265,3383,3553,5444,5879,387,6401"
"C004809"	"isopentenyl pyrophosphate"	"Homo sapiens"	7	"1234,2224,2254,3458,3559,162514,7421"
"C004912"	"ethylbenzene"	"Homo sapiens"	68	"1636,597,604,330,656,694,90668,200008,57053,55584,1183,1491,3576,7852,1543,1545,23258,4189,1805,1960,79071,953,2123,9637,11259,28982,1647,2950,51191,333932,3097,3162,92906,3309,3434,3433,3437,3460,9314,1326,4084,10135,4688,4739,10725,4781,4792,5013,89932,57162,5366,5621,5732,80223,51762,5971,284996,441212,83667,54407,23657,8676,7128,11274,253725,7494,56829,54877"
"C004919"	"ethylene dimethacrylate"	"Homo sapiens"	7	"1646,467,571,942,2730,3162,4780"
"C004965"	"hypericin"	"Homo sapiens"	8	"5243,4363,213,1543,1576,2938,2950,7153"
"C004984"	"apocarotenal"	"Homo sapiens"	82	"34,124,128,219,221,8659,287,288,427,51665,140462,581,9994,999,9071,51208,1277,1282,1284,1382,1508,6387,6372,4283,7852,1559,1746,1748,2068,2113,355,2194,2627,2633,81025,373156,2946,2948,2949,2954,3204,3216,3226,3448,3449,3451,3442,3394,50805,3691,3713,3872,3849,3855,8022,4170,4212,4222,3110,4439,4586,4842,4973,5098,5359,57048,57088,10635,5892,5914,5915,5918,5920,4990,6647,9517,6720,7047,3604,8743,10190,7517"
"C004999"	"ferulic acid"	"Homo sapiens"	20	"23621,595,1026,1543,1544,1719,2539,3141,5594,5595,5226,5742,5743,5925,6319,7299,54575,54659,54577,54576"
"C005023"	"fulvic acid"	"Homo sapiens"	22	"650,654,6356,3576,355,2322,2635,3594,3596,3597,3626,3394,3673,3684,5594,5595,5599,5601,2206,5743,5970,6402"
